Date,HDFCBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,TCS.NS,^NSEI
2010-01-04,74.94451904296875,222.17849731445312,49.67088317871094,603.8043823242188,218.5930938720703,262.7744445800781,5232.2001953125
2010-01-05,75.01042175292969,222.92266845703125,50.16044235229492,604.875244140625,217.61749267578125,262.8443603515625,5277.89990234375
2010-01-06,75.06096649169922,219.66981506347656,50.27794647216797,598.1817626953125,221.13369750976562,256.9011535644531,5281.7998046875
2010-01-07,75.2564926147461,214.73318481445312,50.121280670166016,595.3082275390625,224.80230712890625,249.7519989013672,5263.10009765625
2010-01-08,75.3553466796875,209.5583953857422,50.2289924621582,599.0744018554688,224.212890625,244.64776611328125,5244.75
2010-01-11,75.05216217041016,211.72271728515625,50.24856948852539,598.7708740234375,219.8125762939453,249.68206787109375,5249.39990234375
2010-01-12,74.48316955566406,219.99729919433594,48.965911865234375,599.467041015625,220.39183044433594,262.2151184082031,5210.39990234375
2010-01-13,74.22395324707031,228.2080078125,48.75050735473633,597.307373046875,221.25567626953125,275.6744384765625,5233.9501953125
2010-01-14,73.98226928710938,228.739501953125,48.593849182128906,595.5938720703125,227.98316955566406,272.6330871582031,5259.89990234375
2010-01-15,74.4370346069336,227.55307006835938,49.49464416503906,589.4535522460938,225.75755310058594,276.6707763671875,5252.2001953125
2010-01-18,77.62252807617188,228.47581481933594,49.06382751464844,590.7208862304688,223.47105407714844,280.44647216796875,5274.85009765625
2010-01-19,78.17393493652344,224.16000366210938,48.936546325683594,586.3478393554688,220.52395629882812,272.93017578125,5225.64990234375
2010-01-20,77.15900421142578,226.013916015625,48.38823318481445,584.009521484375,218.99957275390625,272.4757385253906,5221.7001953125
2010-01-21,75.20594787597656,223.25003051757812,47.879093170166016,544.080810546875,214.23338317871094,269.4167175292969,5094.14990234375
2010-01-22,73.68791198730469,219.03199768066406,48.77988815307617,525.3748168945312,214.1927947998047,264.94183349609375,5036.0
2010-01-25,72.79157257080078,216.20013427734375,49.954833984375,532.068359375,211.79444885253906,264.3650817871094,5007.89990234375
2010-01-27,70.17729187011719,212.79420471191406,50.11148452758789,520.5020141601562,208.8473663330078,260.5443115234375,4853.10009765625
2010-01-28,70.00371551513672,211.9013214111328,49.78837966918945,511.0240173339844,210.79855346679688,260.0009460449219,4867.25
2010-01-29,71.66456604003906,210.51943969726562,48.985496520996094,508.2931823730469,212.637939453125,258.0556335449219,4882.0498046875
2010-02-01,70.28932189941406,208.45716857910156,48.270748138427734,505.9371032714844,212.475341796875,261.5433654785156,4899.7001953125
2010-02-02,69.38201904296875,207.4961395263672,47.859519958496094,498.4937438964844,208.79652404785156,258.8268127441406,4830.10009765625
2010-02-03,71.29988861083984,210.3237762451172,49.46526336669922,517.6817016601562,210.14816284179688,263.9268798828125,4931.85009765625
2010-02-04,71.03627014160156,206.56924438476562,49.61214065551758,515.7719116210938,207.1400909423828,258.9319152832031,4845.35009765625
2010-02-05,69.1293716430664,200.0763702392578,48.63301467895508,508.3466491699219,199.52845764160156,253.60391235351562,4718.64990234375
2010-02-08,68.86795806884766,204.40493774414062,48.0455436706543,515.6469116210938,202.09954833984375,253.83189392089844,4760.39990234375
2010-02-09,69.0546875,210.37481689453125,47.7615966796875,521.8585815429688,201.8759765625,257.6876525878906,4792.64990234375
2010-02-10,70.01691436767578,209.79234313964844,47.7615966796875,512.7018432617188,200.21951293945312,256.6885986328125,4757.2001953125
2010-02-11,70.21245574951172,212.47109985351562,48.39801788330078,516.9498901367188,206.3271026611328,260.33404541015625,4826.85009765625
2010-02-15,70.90663146972656,212.4881134033203,48.828826904296875,511.5773620605469,205.2803497314453,261.5433654785156,4801.9501953125
2010-02-16,70.5815200805664,216.1278533935547,48.985496520996094,516.0931396484375,206.8555450439453,265.74969482421875,4855.75
2010-02-17,72.75862121582031,214.1889190673828,49.298828125,526.3028564453125,209.8636016845703,265.9248352050781,4914.0
2010-02-18,73.98009490966797,215.46450805664062,48.61343765258789,526.9990234375,202.80076599121094,265.9774169921875,4887.75
2010-02-19,74.42605590820312,215.35816955566406,48.662391662597656,527.784423828125,199.8333282470703,263.085693359375,4844.89990234375
2010-02-22,74.54468536376953,218.4154815673828,48.48615264892578,532.4609985351562,198.76625061035156,265.43414306640625,4856.39990234375
2010-02-23,74.738037109375,219.51669311523438,48.80924987792969,531.7648315429688,198.23782348632812,267.1342468261719,4870.0498046875
2010-02-24,74.716064453125,219.091552734375,48.49594497680664,535.8880004882812,198.93902587890625,268.2734375,4858.60009765625
2010-02-25,74.30082702636719,222.58250427246094,48.48615264892578,548.1861572265625,195.74803161621094,268.5887451171875,4859.75
2010-02-26,74.90496826171875,221.2728271484375,45.48023986816406,558.431640625,198.96951293945312,267.0290832519531,4922.2998046875
2010-03-02,76.6690673828125,224.59371948242188,47.379737854003906,565.9639282226562,199.8333282470703,267.5198059082031,5017.0
2010-03-03,78.06189727783203,226.740966796875,47.72242736816406,563.3759155273438,208.28843688964844,269.46514892578125,5088.10009765625
2010-03-04,78.25962829589844,223.13095092773438,48.18262481689453,567.2669677734375,206.09335327148438,267.76519775390625,5080.25
2010-03-05,78.38484954833984,224.1429443359375,47.92805099487305,566.7135620117188,205.2397003173828,267.3094177246094,5088.7001953125
2010-03-08,78.39363098144531,226.17129516601562,49.20091247558594,572.3181762695312,204.0812225341797,267.3445129394531,5124.0
2010-03-09,79.57994842529297,228.24624633789062,49.1617431640625,567.2134399414062,201.28652954101562,269.44775390625,5101.5
